,playerName2,predicted_pointsBasedOnAverage,playerName,playerTeam,predicted_pointsBasedOnLastWeek
992,,,Isi,Rayo Vallecano,4.0
1033,,,Bebe,Rayo Vallecano,0.0
1058,,,Dimitrievski,Rayo Vallecano,6.0
1082,,,"D-t, R",Rayo Vallecano,2.0
1102,,,Martin,Rayo Vallecano,0.0
1126,,,Oscar,Rayo Vallecano,4.0
1147,,,"Trejo, Oscar",Rayo Vallecano,2.0
1171,,,Balliu,Rayo Vallecano,4.0
1193,,,"Ciss, Pathe",Rayo Vallecano,4.0
1218,,,Lejeune,Rayo Vallecano,4.0
1257,,,Falcao,Rayo Vallecano,0.0
1280,,,"Perez, K",Rayo Vallecano,4.0
1305,,,Chavarria,Rayo Vallecano,2.0
1327,,,"Mumin, Abdul",Rayo Vallecano,3.0
1360,,,"Crespo, Miguel",Rayo Vallecano,0.0
1383,,,Aridane,Rayo Vallecano,0.0
1407,,,"Espino, A",Rayo Vallecano,5.0
1431,,,"Lopez, Unai",Rayo Vallecano,1.0
1455,,,"de Frutos, Jorge",Rayo Vallecano,0.0
1479,,,Camello,Rayo Vallecano,3.0
1519,,,Fran,Real Madrid,2.0
1538,,,Camavinga,Real Madrid,6.0
1555,,,"Ceballos, Dani",Real Madrid,0.0
1580,,,Ancelotti,Real Madrid,0.0
1620,,,"Tchouameni, Aurelien",Real Madrid,6.0
1645,,,Brahim,Real Madrid,3.0
1653,,,"Guler, Arda",Real Madrid,2.0
1676,,,"Bellingham, Jude",Real Madrid,5.0
1696,,,Kepa,Real Madrid,0.0
1721,,,"Pineiro, Diego",Real Madrid,0.0
1742,,,Carvajal,Real Madrid,6.0
1787,,,Modric,Real Madrid,2.0
1812,,,"Valverde, Federico",Real Madrid,6.0
1837,,,"Vazquez, Lucas",Real Madrid,5.0
1862,,,"Kroos, Toni",Real Madrid,6.0
1879,,,Vinicius,Real Madrid,7.0
1904,,,Rodrygo,Real Madrid,4.0
1922,,,Mendy,Real Madrid,5.0
1946,,,Joselu,Real Madrid,2.0
1971,,,Lunin,Real Madrid,5.0
1993,,,"Sobrino, Ruben",Cádiz,4.0
2015,,,"Navarro, R",Cádiz,4.0
2031,,,Chust,Cádiz,3.0
2051,,,"Guardiola, Sergi",Cádiz,2.0
2083,,,"Alcaraz, R",Cádiz,4.0
2095,,,Juanmi,Cádiz,2.0
2148,,,"Ocampo, Brian",Cádiz,0.0
2164,,,Escalante,Cádiz,3.0
2185,,,"Machis, D",Cádiz,0.0
2205,,,Mere,Cádiz,0.0
2230,,,"Ramos, Chris",Cádiz,3.0
2253,,,"Gomez, Maxi",Cádiz,1.0
2274,,,"Pires, Lucas",Cádiz,5.0
2290,,,"Kouame, Rominigue",Cádiz,0.0
2293,,,Pellegrino,Cádiz,0.0
2295,,,"Ousou, Aiham",Cádiz,0.0
2336,,,Zaldua,Cádiz,0.0
2360,,,"Gil, David",Cádiz,0.0
2383,,,Fali,Cádiz,5.0
2408,,,"C, Iza",Cádiz,5.0
2431,,,"Alejo, I",Cádiz,2.0
2455,,,Alex,Cádiz,3.0
2477,,,Ledesma,Cádiz,4.0
2498,,,"Kubo, Take",Real Sociedad,6.0
2522,,,"Galan, Javi",Real Sociedad,7.0
2547,,,Turrientes,Real Sociedad,4.0
2571,,,"Pacheco, Jon",Real Sociedad,4.0
2597,,,Imanol alguacil,Real Sociedad,0.0
2621,,,Sadiq,Real Sociedad,2.0
2644,,,"Mendez, Brais",Real Sociedad,2.0
2653,,,"Marin, Pablo",Real Sociedad,0.0
2674,,,"Traore, Hamari",Real Sociedad,2.0
2689,,,"Silva, Andre",Real Sociedad,2.0
2712,,,"Ander-olasagasti, Jon",Real Sociedad,3.0
2729,,,"Zakharyan, Arsen",Real Sociedad,4.0
2750,,,Marrero,Real Sociedad,0.0
2778,,,"De-zarate, Gonzalez",Real Sociedad,0.0
2816,,,P224919,Real Sociedad,0.0
2898,,,"Zubeldia, Igor",Real Sociedad,5.0
2920,,,"Merino, Mikel",Real Sociedad,4.0
2944,,,Remiro,Real Sociedad,5.0
2964,,,Barrenetxea,Real Sociedad,3.0
3005,,,Zubimendi,Real Sociedad,6.0
3047,,,Pedrosa,Sevilla,1.0
3071,,,"Dmitrovic, Marko",Sevilla,0.0
3085,,,"Lamela, E",Sevilla,2.0
3113,,,"Sanchez-flores, Quique",Sevilla,0.0
3152,,,"Bade, Loic",Sevilla,6.0
3175,,,"Sow, Djibril",Sevilla,5.0
3188,,,"Nyland, Orjan",Sevilla,7.0
3197,,,"Arbol, Matias",Sevilla,0.0
3218,,,Juanlu,Sevilla,3.0
3255,,,"Soumare, Boubakary",Sevilla,6.0
3273,,,"Ramos, Sergio",Sevilla,7.0
3291,,,"Romero, Isaac",Sevilla,7.0
3295,,,"Mejbri, Hannibal",Sevilla,0.0
3324,,,"Januzaj, Adnan",Sevilla,0.0
3343,,,"Navas, Jesus",Sevilla,5.0
3364,,,"Jordan, Joan",Sevilla,0.0
3384,,,"Nesyri, En",Sevilla,5.0
3409,,,Ocampos,Sevilla,7.0
3431,,,"Torres, Oliver",Sevilla,4.0
3469,,,Suso,Sevilla,2.0
3483,,,"Acuna, M",Sevilla,7.0
3508,,,"Rivero, C",Valencia,0.0
3533,,,"Duro, Hugo",Valencia,5.0
3558,,,Mamardashvili,Valencia,4.0
3576,,,"Vazquez, J",Valencia,2.0
3624,,,Pepelu,Valencia,6.0
3647,,,"Ozkacar, Cenk",Valencia,4.0
3670,,,"Amallah, Selim",Valencia,4.0
3695,,,"Baraja, Ruben",Valencia,0.0
3718,,,"Guerra, Javier",Valencia,5.0
3743,,,Francisco,Valencia,5.0
3767,,,"Mosquera, Cristhian",Valencia,4.0
3777,,,"Iranzo, Ruben",Valencia,0.0
3798,,,"Gozalbez, Pablo",Valencia,0.0
3834,,,"Canos, Sergi",Valencia,1.0
3853,,,"Yaremchuk, Roman",Valencia,0.0
3862,,,"Mari, Alberto",Valencia,0.0
3869,,,"Gasiorowski, Yarek",Valencia,0.0
3872,,,Peter,Valencia,1.0
3897,,,Jaume,Valencia,0.0
3912,,,"Diakhaby, Mouctar",Valencia,0.0
3931,,,Gaya,Valencia,3.0
3971,,,Foulquier,Valencia,5.0
3996,,,"G, Hugo",Valencia,3.0
4021,,,Embarba,Almería,2.0
4043,,,Baba,Almería,6.0
4065,,,"G, Edgar",Almería,5.0
4088,,,Pozo,Almería,0.0
4112,,,Maximiano,Almería,7.0
4133,,,Robertone,Almería,6.0
4158,,,"C, Fernando",Almería,0.0
4181,,,Centelles,Almería,5.0
4229,,,"Ramazani, L",Almería,5.0
4300,,,"Marino, D",Almería,0.0
4311,,,"Viera, Jonathan",Almería,0.0
4334,,,"Lopy, Dion",Almería,3.0
4358,,,Arribas,Almería,4.0
4368,,,"Pubill, Marc",Almería,6.0
4389,,,"Milovanovic, Marko",Almería,2.0
4399,,,"Garitano, Gaizka",Almería,0.0
